crab.number,year,month,day,zone,location,vessel,missing.legs.left,missing.legs.right,shell.condition,maturity,carapace.width,abdomen.width,weight,egg.colour,egg.development,gonad.colour,eggs.remaining,egg.weight,sample.egg.count,sample.egg.weight,fecundity,comment
142,2012,8,17,12,Bradelle Bank,Marco Michel,1R 2R,1R ,3,P,43.69,27.31,27.1,OF,1-3,O,50,0.4811,694,0.0311,10736,
143,2012,8,17,12,Bradelle Bank,Marco Michel,5,5,5,P,59.48,42.31,69.8,OF,7,O,75,1.6758,564,0.0310,30489,
144,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,55.05,39.70,74.4,OF,1-3,O,75,2.3073,550,0.0316,40159,
145,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,58.27,39.70,72.7,OF,7,O,75,1.5787,516,0.0307,26535,
146,2012,8,17,12,Bradelle Bank,Marco Michel,5R,"4,5",4,M,54.17,36.17,52.8,OF,1-3,O,75,,,,#DIV/0!,
147,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,55.15,35.67,55.6,OF,7,O,75,,,,#DIV/0!,
148,2012,8,17,12,Bradelle Bank,Marco Michel,"1,2,3,4,5",3,4,M,54.10,37.49,45.3,OF,1-3,BE,75,,,,#DIV/0!,
149,2012,8,17,12,Bradelle Bank,Marco Michel,5R,,3,P,56.08,36.43,57.7,OF,8,O,50,1.0583,599,0.0311,20383,
150,2012,8,17,12,Bradelle Bank,Marco Michel,1H,"1R,2,4",4,M,55.61,35.93,50.9,OF,1-3,O,75,1.5976,605,0.0300,32218,
151,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,55.88,37.33,61.4,OF,6,O,50,,,,#DIV/0!,
152,2012,8,17,12,Bradelle Bank,Marco Michel,2,"2,3,5",3,P,53.76,37.74,44.0,OF,7,OC,50,,,,#DIV/0!,
153,2012,8,17,12,Bradelle Bank,Marco Michel,3R,,3,P,51.66,36.42,45.8,OF,1-3,O,50,1.2139,509,0.0299,20665,
154,2012,8,17,12,Bradelle Bank,Marco Michel,,"2,4",4,M,46.73,32.11,39.0,OF,9,O,100,1.2900,551,0.0310,22929,Development not clear
155,2012,8,17,12,Bradelle Bank,Marco Michel,"2,4",,3,P,52.43,34.50,47.1,OF,6,O,50,,,,#DIV/0!,Development not clear
156,2012,8,17,12,Bradelle Bank,Marco Michel,4R,4,3,P,48.47,32.83,40.0,OF,6,OC,75,0.3225,666,0.0321,6691,
157,2012,8,17,12,Bradelle Bank,Marco Michel,"1,2","4,5",3,P,48.05,31.36,36.4,OF,7,O,75,,,,#DIV/0!,
158,2012,8,17,12,Bradelle Bank,Marco Michel,2,,3,P,46.20,30.90,34.5,OF,1-3,OC,75,0.7230,643,0.0308,15094,Development not clear
159,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,44.96,30.02,30.6,OF,1-3,OC,100,0.6454,584,0.0306,12317,
160,2012,8,17,12,Bradelle Bank,Marco Michel,4,,3,P,46.64,32.11,34.4,OF,1-3,O,75,,,,#DIV/0!,
161,2012,8,17,12,Bradelle Bank,Marco Michel,5R,3,4,M,46.28,30.55,33.8,OF,9,O,75,0.6454,662,0.0300,14242,
162,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,45.22,23.72,33.1,OF,1-3,O,25,0.2754,630,0.0302,5745,
163,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,48.03,33.34,36.0,OF,7,O,75,,,,#DIV/0!,
164,2012,8,17,12,Bradelle Bank,Marco Michel,2,3H,3,P,44.16,30.69,27.7,OF,6,O,75,0.7353,597,0.0319,13761,Dry eggs 
165,2012,8,17,12,Bradelle Bank,Marco Michel,,1,3,P,44.17,28.87,28.7,OF,7,O,50,0.5075,643,0.0319,10230,Development not clear
166,2012,8,17,12,Bradelle Bank,Marco Michel,"2,5,3H,4R",3,3,P,45.27,31.37,28.9,OF,7,OC,75,,,,#DIV/0!,
167,2012,8,17,12,Bradelle Bank,Marco Michel,,2,3,P,41.57,28.01,24.8,OF,7,O,50,0.4679,590,0.0301,9171,
168,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,38.28,24.92,20.7,OF,5-6,O,75,0.3107,689,0.0308,6950,
169,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,40.35,27.88,22.5,OF,6-7,O,50,0.4017,659,0.0318,8325,
170,2012,8,17,12,Bradelle Bank,Marco Michel,2R,,3,P,38.76,25.75,19.4,OF,1 OR 10,O,50,0.5000,610,0.0305,10000,Development not clear
171,2012,8,17,12,Bradelle Bank,Marco Michel,"1R,5",4,3,P,39.41,27.03,26.6,OC,1-3,O,75,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
